code_parent,code_parent_desc,count(*)
ESP1361,R R Salengro talus biblio,44
ESP1362,Av Berthelot Ponsard Gordes,2
ESP1363,R Dt de Crolles square,5
ESP1364,R Emile Romanet n 22 à 26,22
ESP1365,R Moyrand réserve foncière,5
ESP1366,R L Lagrange ang R Gén Mangin,6
ESP1367,Pl DrGalimard,12
ESP1368,R 140 R I A Pl de l'amitié,3
ESP1369,R Gay Lussac Berthelot Monge,8
ESP137,Sq Waldeck Rousseau,50
ESP1370,R Monge Ch église Gay Lussac,12
ESP1371,R Léo Lagrange ang Gén Ferrié,14
ESP1372,R L Andrieux n 22 à 88,17
ESP1373,R Ponsard ang J Perrot,2
ESP1374,Prc Pompidou  gradins,21
ESP1375,Prc Pompidou pelouse du bassin,30
ESP1376,R F James ang A de Vigny,2
ESP1377,Av  J O nord Jouhaux 140 RIA,2
ESP1378,Av J Perrot l'orangeraie,30
ESP1379,R R Lesage du 17 au 23,13
ESP138,R N Chorier ang A Grégoire,1
ESP1380,Av J Perrot n 88 ,1
ESP1381,Bd Foch Tram Lanoyerie Marceau,16
ESP1382,Prc Pompidou abs aire de jeux ,42
ESP1383,R A Matussière ang Lesage,6
ESP1384,Technisud pelouse,5
ESP1385,Ec mat libération n 207,10
ESP1386,Prc La Bruyère dalle Res,91
ESP1387,Res La Bruyère commerces,9
ESP1388,Butte n 04 zénith,44
ESP1389,Ch Collège Allée de la Pelouse,26
ESP139,Pl J Marval et R Arthaud,9
ESP1390,Ch Collège Terrain proximité,14
ESP1391,Gal Arlequin le patio pelouse,13
ESP1392,La piste dans le talus,8
ESP1393,Désserte des alisiers mail,61
ESP1394,La piste plateau sportif,23
ESP1395,Massif du lac,4
ESP1396,Pass du Verderet derr école,21
ESP1397,R du Trident esp ouvert,14
ESP1398,Prc La Bruyère accés SUD,15
ESP1399,Pas la Fontaine coté Helbroner,8
ESP14,R Millet angle R de Sault,1
ESP140,Caser Bonne Pl Carnot Frenay,6
ESP1400,R Trois épis park,14
ESP1401,Ec des Arts R FG Lorca,6
ESP1402,Av Reynoard Dodero à Esmonin,10
ESP1403,R Maquis de l'Oisans park,35
